# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
59            	smoothSolver	5.531370e-03	3.250440e-04	2	1.392280e-02	8.695300e-04	2	false	smoothSolver	1.721620e-02	1.390630e-03	1	true	GAMG	1.310170e-01	1.092680e-03	7	true	smoothSolver	2.268110e-03	1.597440e-04	1	true
60            	smoothSolver	5.524040e-03	3.235200e-04	2	1.391640e-02	8.676530e-04	2	false	smoothSolver	1.698570e-02	1.373860e-03	1	true	GAMG	1.330590e-01	1.103890e-03	7	true	smoothSolver	2.279650e-03	1.607060e-04	1	true
61            	smoothSolver	5.524590e-03	3.220700e-04	2	1.393080e-02	8.666550e-04	2	false	smoothSolver	1.675090e-02	1.355180e-03	1	true	GAMG	1.343350e-01	1.098880e-03	7	true	smoothSolver	2.296790e-03	1.612640e-04	1	true
62            	smoothSolver	5.528750e-03	3.210430e-04	2	1.400810e-02	8.667060e-04	2	false	smoothSolver	1.653700e-02	1.338220e-03	1	true	GAMG	1.356970e-01	1.069460e-03	7	true	smoothSolver	2.307470e-03	1.617610e-04	1	true
63            	smoothSolver	5.547540e-03	3.205360e-04	2	1.406710e-02	8.658050e-04	2	false	smoothSolver	1.637550e-02	1.323570e-03	1	true	GAMG	1.365220e-01	1.042220e-03	7	true	smoothSolver	2.322120e-03	1.622830e-04	1	true
64            	smoothSolver	5.568770e-03	3.203630e-04	2	1.410750e-02	8.655050e-04	2	false	smoothSolver	1.624440e-02	1.312290e-03	1	true	GAMG	1.389420e-01	1.017010e-03	7	true	smoothSolver	2.354330e-03	1.630680e-04	1	true
65            	smoothSolver	5.598450e-03	3.207740e-04	2	1.418110e-02	8.670480e-04	2	false	smoothSolver	1.610100e-02	1.299310e-03	1	true	GAMG	1.410390e-01	1.008890e-03	7	true	smoothSolver	2.374660e-03	1.636480e-04	1	true
66            	smoothSolver	5.635320e-03	3.213640e-04	2	1.425410e-02	8.686100e-04	2	false	smoothSolver	1.599330e-02	1.288080e-03	1	true	GAMG	1.425100e-01	1.035160e-03	7	true	smoothSolver	2.399250e-03	1.646270e-04	1	true
67            	smoothSolver	5.677060e-03	3.224310e-04	2	1.435170e-02	8.704720e-04	2	false	smoothSolver	1.586390e-02	1.279100e-03	1	true	GAMG	1.455750e-01	1.146850e-03	7	true	smoothSolver	2.420130e-03	1.655810e-04	1	true
68            	smoothSolver	5.731480e-03	3.237620e-04	2	1.442130e-02	8.733160e-04	2	false	smoothSolver	1.581170e-02	1.271310e-03	1	true	GAMG	1.473460e-01	1.309550e-03	7	true	smoothSolver	2.441750e-03	1.658030e-04	1	true
69            	smoothSolver	5.781550e-03	3.253220e-04	2	1.455840e-02	8.766660e-04	2	false	smoothSolver	1.570990e-02	1.263160e-03	1	true	GAMG	1.487660e-01	1.380730e-03	7	true	smoothSolver	2.479170e-03	1.666920e-04	1	true
70            	smoothSolver	5.843980e-03	3.271960e-04	2	1.474900e-02	8.810040e-04	2	false	smoothSolver	1.562780e-02	1.256460e-03	1	true	GAMG	1.501910e-01	1.401900e-03	7	true	smoothSolver	2.490030e-03	1.676700e-04	1	true
71            	smoothSolver	5.918560e-03	3.294680e-04	2	1.485820e-02	8.866570e-04	2	false	smoothSolver	1.559760e-02	1.252230e-03	1	true	GAMG	1.524360e-01	1.398040e-03	7	true	smoothSolver	2.533390e-03	1.688890e-04	1	true
72            	smoothSolver	5.995960e-03	3.323230e-04	2	1.501480e-02	8.923790e-04	2	false	smoothSolver	1.554320e-02	1.245670e-03	1	true	GAMG	1.551160e-01	1.385980e-03	7	true	smoothSolver	2.575710e-03	1.697080e-04	1	true
73            	smoothSolver	6.073530e-03	3.347480e-04	2	1.521580e-02	8.972780e-04	2	false	smoothSolver	1.550030e-02	1.241180e-03	1	true	GAMG	1.561010e-01	1.353640e-03	7	true	smoothSolver	2.576200e-03	1.711830e-04	1	true
74            	smoothSolver	6.160990e-03	3.373090e-04	2	1.540710e-02	9.041100e-04	2	false	smoothSolver	1.549720e-02	1.241180e-03	1	true	GAMG	1.593080e-01	1.302360e-03	7	true	smoothSolver	2.647540e-03	1.724630e-04	1	true
75            	smoothSolver	6.238880e-03	3.404110e-04	2	1.555090e-02	9.110980e-04	2	false	smoothSolver	1.546500e-02	1.235220e-03	1	true	GAMG	1.615460e-01	1.216550e-03	7	true	smoothSolver	2.654630e-03	1.734820e-04	1	true
76            	smoothSolver	6.322540e-03	3.436150e-04	2	1.574730e-02	9.176410e-04	2	false	smoothSolver	1.544610e-02	1.232350e-03	1	true	GAMG	1.633170e-01	1.073020e-03	7	true	smoothSolver	2.699500e-03	1.750850e-04	1	true
77            	smoothSolver	6.416820e-03	3.467670e-04	2	1.594920e-02	9.249820e-04	2	false	smoothSolver	1.546570e-02	1.233360e-03	1	true	GAMG	1.656800e-01	8.817530e-04	7	true	smoothSolver	2.756800e-03	1.770420e-04	1	true
78            	smoothSolver	6.520450e-03	3.498780e-04	2	1.610160e-02	9.342810e-04	2	false	smoothSolver	1.544960e-02	1.229950e-03	1	true	GAMG	1.670100e-01	8.101790e-04	7	true	smoothSolver	2.758080e-03	1.780990e-04	1	true
79            	smoothSolver	6.586670e-03	3.529910e-04	2	1.632010e-02	9.419500e-04	2	false	smoothSolver	1.548080e-02	1.229060e-03	1	true	GAMG	1.695240e-01	8.651320e-04	7	true	smoothSolver	2.835190e-03	1.798760e-04	1	true
80            	smoothSolver	6.692240e-03	3.562220e-04	2	1.657040e-02	9.499900e-04	2	false	smoothSolver	1.550540e-02	1.229990e-03	1	true	GAMG	1.716740e-01	9.741820e-04	7	true	smoothSolver	2.852380e-03	1.823980e-04	1	true
81            	smoothSolver	6.782550e-03	3.592820e-04	2	1.674180e-02	9.604920e-04	2	false	smoothSolver	1.555710e-02	1.229120e-03	1	true	GAMG	1.722430e-01	1.036590e-03	7	true	smoothSolver	2.896640e-03	1.837040e-04	1	true
82            	smoothSolver	6.865370e-03	3.624800e-04	2	1.695880e-02	9.691600e-04	2	false	smoothSolver	1.555450e-02	1.231940e-03	1	true	GAMG	1.738350e-01	1.098700e-03	7	true	smoothSolver	2.944680e-03	1.862700e-04	1	true
83            	smoothSolver	6.943840e-03	3.658180e-04	2	1.725120e-02	9.798740e-04	2	false	smoothSolver	1.560080e-02	1.233670e-03	1	true	GAMG	1.741060e-01	1.212430e-03	7	true	smoothSolver	2.961990e-03	1.886630e-04	1	true
